Year Mo Dy     tave     tmax     mxtm     tmin     mntm       vp    rhmax   rhmxtm    rhmin   rhmntm       sr     wrun       pp    st5mx  st5mxtm    st5mn  st5mntm   st15mx st15mxtm   st15mn st15mntm    volts     year     gust   gusttm   gusdir etr_asce
2019  2 20   -5.496    2.147    14:30  -13.139    05:40    0.223    0.920    04:00    0.181    15:50   11.565   69.813    0.000      ***      ***      ***      ***    0.226    00:00   -1.040    11:00      *** 2019.000    7.311    16:00      ***    1.198
2019  2 21   -4.461    1.414    14:50  -10.335    06:50    0.276    0.862    23:50    0.400    16:00    9.502   83.789    0.254      ***      ***      ***      ***   -0.098    01:00   -0.985    11:00      *** 2019.000    7.507    18:50      ***    1.087
2019  2 22   -5.376   -3.792    21:50   -6.960    10:00    0.359    0.967    04:30    0.789    21:50    1.758   61.486    0.000      ***      ***      ***      ***    0.047    20:00   -0.144    00:00      *** 2019.000    5.194    01:10      ***    0.228
2019  2 23   -0.835    6.344    12:40   -8.014    07:10    0.303    0.889    02:10    0.169    12:50   11.230   86.639    0.508      ***      ***      ***      ***    0.080    23:00   -0.334    12:00      *** 2019.000   12.250    19:30      ***    1.606
2019  2 24    2.057    9.549    13:10   -5.436    23:50    0.304    0.729    23:50    0.132    13:20   11.296  117.108    0.000      ***      ***      ***      ***    0.354    23:00    0.072    12:00      *** 2019.000   10.172    00:30      ***    2.215
2019  2 25    0.910   10.760    15:10   -8.940    05:50    0.377    0.976    22:20    0.182    15:00   11.805   77.067    0.000      ***      ***      ***      ***    1.731    20:00    0.296    13:00      *** 2019.000    8.702    15:50      ***    1.793
2019  2 26    0.546    9.510    14:40   -8.417    00:20    0.408    0.968    00:40    0.319    15:00   10.147   52.296    0.000      ***      ***      ***      ***    4.166    20:00    0.771    11:00      *** 2019.000    5.214    21:50      ***    1.347
2019  2 27   -5.434   -1.855    15:20   -9.013    06:30    0.314    0.949    06:40    0.595    16:10    7.914   81.930    0.000      ***      ***      ***      ***    3.407    00:00    1.415    13:00      *** 2019.000    5.057    13:20      ***    0.820
2019  2 28    0.958   10.209    13:20   -8.293    06:50    0.391    0.877    06:20    0.321    13:20    7.363   68.713    0.000      ***      ***      ***      ***    3.127    21:00    1.186    12:00      *** 2019.000    8.193    11:00      ***    1.446
2019  3  1    3.836   11.316    11:00   -3.644    05:10    0.486    0.964    22:50    0.247    12:00    8.511  106.531    0.000      ***      ***      ***      ***    4.317    20:00    1.431    10:00      *** 2019.000    8.644    10:10      ***    1.945
